주문시간,실제도착시간,예상도착시간,앱종류,거리,결제종류,user
2023-07-26 08:05:49,2023-07-26 09:14:06,2023-07-26 08:39:42,여기여,1.93,카드,user_275
2022-11-07 10:21:54,2022-11-07 10:44:04,2022-11-07 10:50:15,배고팡,5.19,카드,user_360
2023-04-18 05:00:57,2023-04-18 06:12:46,2023-04-18 05:32:53,배고팡,13.85,카드,user_36
2023-08-18 10:46:28,2023-08-18 11:16:25,2023-08-18 11:08:33,배고팡,10.9,앱결제,user_65
2023-08-11 09:58:27,2023-08-11 11:27:57,2023-08-11 10:51:57,여기여,14.96,카드,user_176
2022-11-27 15:13:52,2022-11-27 16:47:32,2022-11-27 16:41:28,배달왕,14.85,앱결제,user_204
2022-09-25 16:27:43,2022-09-25 17:52:23,2022-09-25 18:13:21,배달왕,9.72,현금,user_343
2023-01-19 11:32:02,2023-01-19 13:10:13,2023-01-19 13:24:54,여기여,10.04,카드,user_337
2023-04-09 05:21:21,2023-04-09 06:47:46,2023-04-09 05:51:07,배달왕,1.51,카드,user_294
2023-03-02 00:12:37,2023-03-02 00:40:30,2023-03-02 00:55:37,배달왕,4.66,앱결제,user_208
2022-11-22 16:46:52,2022-11-22 17:10:32,2022-11-22 17:25:23,배고팡,4.25,현금,user_120
2022-11-16 15:11:09,2022-11-16 16:35:37,2022-11-16 16:19:57,배달왕,1.51,앱결제,user_6
2023-06-14 14:12:01,2023-06-14 15:00:52,2023-06-14 14:54:44,배달왕,10.32,카드,user_325
2023-01-18 00:06:39,2023-01-18 00:31:11,2023-01-18 00:49:24,여기여,18.56,앱결제,user_222
2023-08-17 17:24:04,2023-08-17 18:49:48,2023-08-17 19:05:29,여기여,12.84,카드,user_135
2022-12-23 01:48:35,2022-12-23 02:47:01,2022-12-23 02:52:36,배고팡,5.35,현금,user_497
2023-05-30 13:04:45,2023-05-30 14:46:54,2023-05-30 14:12:27,여기여,10.24,현금,user_41
2022-10-04 01:48:33,2022-10-04 02:54:07,2022-10-04 02:47:42,배고팡,8.99,카드,user_398
2023-02-03 11:08:34,2023-02-03 12:08:07,2023-02-03 11:44:14,여기여,18.21,현금,user_198
2023-01-12 01:47:08,2023-01-12 03:01:50,2023-01-12 02:09:30,배달왕,2.06,현금,user_379
2022-08-22 21:28:19,2022-08-22 22:39:09,2022-08-22 21:51:29,배고팡,16.27,카드,user_447
2022-11-30 16:35:08,2022-11-30 17:34:40,2022-11-30 17:08:42,배고팡,16.99,카드,user_116
2022-11-03 10:05:17,2022-11-03 11:25:32,2022-11-03 10:52:13,배달왕,4.25,카드,user_204
2023-07-30 16:05:12,2023-07-30 17:25:24,2023-07-30 16:27:24,배달왕,3.58,현금,user_119
2023-07-09 19:20:05,2023-07-09 20:19:40,2023-07-09 20:48:13,배고팡,10.52,앱결제,user_403
2022-12-17 15:46:25,2022-12-17 16:05:41,2022-12-17 16:29:18,배고팡,16.87,카드,user_175
2023-01-31 07:53:32,2023-01-31 08:26:11,2023-01-31 08:53:32,배고팡,18.85,현금,user_497
2022-12-11 10:44:37,2022-12-11 11:16:21,2022-12-11 11:08:00,배달왕,14.98,카드,user_491
2022-09-13 13:20:22,2022-09-13 14:04:11,2022-09-13 14:08:43,여기여,10.56,앱결제,user_196
2023-07-21 13:24:32,2023-07-21 14:14:25,2023-07-21 14:43:43,배고팡,9.53,카드,user_189
2023-07-17 09:07:58,2023-07-17 09:57:30,2023-07-17 10:20:36,배달왕,14.48,앱결제,user_484
2023-02-08 01:37:24,2023-02-08 02:31:30,2023-02-08 02:57:00,배고팡,17.27,카드,user_125
2022-09-24 14:17:53,2022-09-24 15:30:29,2022-09-24 15:51:15,여기여,4.16,현금,user_234
2022-12-08 18:57:59,2022-12-08 19:49:20,2022-12-08 20:19:02,여기여,16.44,앱결제,user_11
2023-01-14 21:31:46,2023-01-14 22:04:16,2023-01-14 22:25:48,배달왕,19.38,현금,user_73
2023-03-08 11:57:14,2023-03-08 13:30:09,2023-03-08 12:21:43,배고팡,17.95,현금,user_397
2023-03-27 22:37:57,2023-03-27 22:55:17,2023-03-27 23:21:21,여기여,0.92,현금,user_455
2023-07-20 08:18:10,2023-07-20 09:27:32,2023-07-20 09:32:12,배고팡,17.83,앱결제,user_255
2022-09-11 05:12:02,2022-09-11 06:02:35,2022-09-11 05:42:50,배고팡,17.1,현금,user_430
2023-05-14 09:31:55,2023-05-14 10:47:09,2023-05-14 10:28:28,여기여,6.34,앱결제,user_227
2022-10-12 17:35:17,2022-10-12 18:15:50,2022-10-12 17:59:57,배달왕,1.68,카드,user_409
2023-01-04 03:03:36,2023-01-04 04:15:24,2023-01-04 04:19:09,배달왕,3.79,앱결제,user_253
2023-06-14 06:59:13,2023-06-14 07:45:15,2023-06-14 07:35:11,여기여,8.51,앱결제,user_207
2023-08-08 00:26:41,2023-08-08 01:24:16,2023-08-08 00:49:43,여기여,2.82,현금,user_455
2023-01-10 22:18:59,2023-01-10 22:58:18,2023-01-10 22:46:17,배고팡,1.23,현금,user_421
2023-03-08 06:32:01,2023-03-08 07:34:51,2023-03-08 07:11:30,여기여,10.53,카드,user_114
2022-12-03 21:58:27,2022-12-03 23:05:02,2022-12-03 22:42:51,여기여,17.59,카드,user_445
2023-07-31 09:08:30,2023-07-31 10:58:16,2023-07-31 11:24:36,여기여,3.17,앱결제,user_236
2023-02-22 17:39:01,2023-02-22 18:51:34,2023-02-22 18:44:19,배달왕,9.38,앱결제,user_200
2023-07-28 03:32:53,2023-07-28 04:01:30,2023-07-28 04:13:40,여기여,2.02,현금,user_106
2023-02-06 05:26:08,2023-02-06 06:42:16,2023-02-06 05:46:18,여기여,7.22,카드,user_17
2023-07-02 04:14:29,2023-07-02 05:26:28,2023-07-02 05:00:11,배달왕,3.86,앱결제,user_29
2023-06-05 03:29:44,2023-06-05 03:56:52,2023-06-05 03:52:06,배달왕,7.97,앱결제,user_419
2023-04-21 07:50:27,2023-04-21 08:50:09,2023-04-21 08:28:32,배고팡,15.5,앱결제,user_150
2023-03-07 21:25:22,2023-03-07 22:11:14,2023-03-07 21:48:25,배고팡,6.84,앱결제,user_57
2023-04-16 09:15:08,2023-04-16 10:42:58,2023-04-16 09:35:58,배고팡,12.55,현금,user_441
2022-11-16 08:58:26,2022-11-16 10:25:49,2022-11-16 10:06:06,여기여,1.64,카드,user_449
2023-08-04 19:18:22,2023-08-04 20:15:06,2023-08-04 19:39:13,배달왕,13.33,현금,user_389
2023-08-20 20:18:05,2023-08-20 21:22:51,2023-08-20 21:01:44,배달왕,7.49,카드,user_441
2023-06-29 23:38:47,2023-06-30 01:02:59,2023-06-30 00:50:27,배고팡,3.48,앱결제,user_99
2023-05-08 23:22:27,2023-05-09 00:39:45,2023-05-09 01:06:23,배고팡,19.77,현금,user_84
2023-02-04 00:16:46,2023-02-04 00:36:34,2023-02-04 01:06:43,배고팡,5.7,현금,user_83
2023-05-15 11:11:06,2023-05-15 11:44:51,2023-05-15 12:09:12,배달왕,3.36,앱결제,user_458
2023-07-15 11:03:58,2023-07-15 11:52:21,2023-07-15 11:32:14,배달왕,17.03,앱결제,user_318
2023-04-10 16:50:35,2023-04-10 17:22:17,2023-04-10 17:44:42,배달왕,15.43,카드,user_410
2022-09-29 21:19:28,2022-09-29 22:05:28,2022-09-29 21:45:21,여기여,6.42,현금,user_52
2023-01-08 12:52:59,2023-01-08 13:54:42,2023-01-08 13:36:51,여기여,11.12,카드,user_1
2023-01-21 06:15:58,2023-01-21 06:32:49,2023-01-21 06:49:06,여기여,1.63,앱결제,user_275
2023-04-07 13:10:49,2023-04-07 14:16:41,2023-04-07 14:09:53,여기여,4.48,앱결제,user_406
2022-11-03 12:17:36,2022-11-03 12:40:16,2022-11-03 12:50:32,배달왕,9.65,카드,user_306
2022-11-14 21:21:01,2022-11-14 23:02:10,2022-11-14 22:20:19,여기여,17.18,카드,user_109
2022-12-10 01:27:04,2022-12-10 02:02:14,2022-12-10 02:29:07,배고팡,5.42,앱결제,user_460
2023-07-20 14:37:12,2023-07-20 15:44:48,2023-07-20 15:52:57,배고팡,1.06,카드,user_39
2023-05-03 02:28:02,2023-05-03 03:53:01,2023-05-03 03:27:46,여기여,16.51,앱결제,user_346
2023-08-03 04:54:41,2023-08-03 06:17:47,2023-08-03 06:45:44,배달왕,7.85,현금,user_453
2022-12-23 19:24:21,2022-12-23 21:04:32,2022-12-23 21:07:03,배달왕,6.52,카드,user_337
2022-09-07 03:05:02,2022-09-07 03:48:11,2022-09-07 04:07:53,배고팡,1.1,앱결제,user_401
2022-08-25 21:37:19,2022-08-25 22:39:51,2022-08-25 22:51:04,배달왕,7.12,카드,user_211
2023-05-19 17:33:54,2023-05-19 19:14:53,2023-05-19 19:03:59,여기여,15.36,현금,user_310
2022-08-23 04:33:48,2022-08-23 06:06:30,2022-08-23 06:09:54,배달왕,8.13,현금,user_127
2022-10-05 17:30:01,2022-10-05 18:33:19,2022-10-05 18:49:24,배고팡,11.48,현금,user_146
2022-11-19 18:37:41,2022-11-19 19:36:53,2022-11-19 19:18:43,배달왕,9.01,앱결제,user_300
2023-07-03 15:51:23,2023-07-03 17:01:05,2023-07-03 16:34:20,여기여,13.25,현금,user_317
2023-07-15 07:36:24,2023-07-15 08:09:56,2023-07-15 08:40:09,여기여,10.53,카드,user_478
2022-11-25 07:56:40,2022-11-25 09:20:11,2022-11-25 08:59:00,배고팡,7.65,현금,user_433
2023-01-20 20:17:21,2023-01-20 21:59:51,2023-01-20 20:59:36,여기여,9.72,현금,user_365
2023-07-25 22:33:45,2023-07-25 23:08:08,2023-07-25 22:55:53,여기여,14.47,현금,user_86
2022-09-05 21:25:47,2022-09-05 22:04:36,2022-09-05 22:21:43,여기여,4.21,현금,user_488
2022-09-21 05:49:31,2022-09-21 07:10:13,2022-09-21 06:10:01,여기여,2.0,카드,user_180
2022-09-09 16:40:28,2022-09-09 17:24:32,2022-09-09 17:28:15,배달왕,14.93,카드,user_164
2023-07-28 20:27:55,2023-07-28 21:37:39,2023-07-28 20:59:15,배달왕,9.4,카드,user_8
2023-06-25 01:45:22,2023-06-25 02:47:42,2023-06-25 02:36:06,배고팡,9.76,현금,user_345
2022-11-07 15:46:49,2022-11-07 17:18:33,2022-11-07 16:50:31,여기여,2.09,앱결제,user_95
2023-06-18 20:28:12,2023-06-18 22:11:05,2023-06-18 21:48:39,배고팡,3.73,앱결제,user_179
2022-09-23 04:17:59,2022-09-23 05:19:33,2022-09-23 05:17:42,여기여,15.9,카드,user_106
2023-07-28 03:35:08,2023-07-28 04:57:08,2023-07-28 05:11:39,배고팡,19.06,카드,user_205
2022-08-26 15:04:51,2022-08-26 15:45:02,2022-08-26 15:47:05,배달왕,9.2,현금,user_213
2022-12-14 03:25:04,2022-12-14 04:26:36,2022-12-14 04:33:10,여기여,1.08,카드,user_46
2022-09-01 03:23:11,2022-09-01 04:03:16,2022-09-01 03:47:38,배고팡,4.28,현금,user_472
2023-01-04 23:27:28,2023-01-05 01:14:30,2023-01-05 00:40:31,여기여,10.43,카드,user_485
2022-12-05 12:24:53,2022-12-05 14:14:14,2022-12-05 13:32:15,여기여,16.22,카드,user_311
2023-05-19 03:01:28,2023-05-19 04:08:00,2023-05-19 04:02:30,여기여,16.09,카드,user_162
2022-08-27 09:09:20,2022-08-27 10:42:50,2022-08-27 10:15:34,배고팡,2.72,앱결제,user_316
2022-12-23 04:13:21,2022-12-23 05:00:05,2022-12-23 05:03:56,여기여,11.96,카드,user_467
2023-05-30 06:29:30,2023-05-30 07:28:00,2023-05-30 07:46:59,배달왕,19.21,카드,user_369
2023-03-24 02:41:25,2023-03-24 03:56:31,2023-03-24 04:20:19,배달왕,9.27,카드,user_290
2022-11-06 19:33:08,2022-11-06 20:18:57,2022-11-06 19:56:18,배고팡,11.69,카드,user_405
2022-12-04 14:43:39,2022-12-04 15:34:17,2022-12-04 15:19:28,배달왕,19.07,앱결제,user_466
2022-11-28 07:58:44,2022-11-28 09:08:35,2022-11-28 08:29:21,배달왕,5.21,현금,user_33
2023-02-14 14:44:40,2023-02-14 15:17:50,2023-02-14 15:27:24,배고팡,2.78,앱결제,user_72
2023-03-19 13:09:10,2023-03-19 14:23:27,2023-03-19 14:47:24,배고팡,15.45,앱결제,user_152
2023-05-16 18:38:03,2023-05-16 19:34:02,2023-05-16 19:22:42,배달왕,10.71,앱결제,user_93
2023-06-01 10:39:42,2023-06-01 11:16:02,2023-06-01 11:01:48,여기여,3.35,앱결제,user_178
2023-05-03 02:11:58,2023-05-03 03:27:25,2023-05-03 02:54:04,배고팡,5.7,현금,user_26
2022-10-15 21:15:41,2022-10-15 21:45:07,2022-10-15 21:44:56,배고팡,9.91,카드,user_88
2023-01-03 04:37:23,2023-01-03 05:44:24,2023-01-03 05:59:42,배달왕,12.61,카드,user_372
2022-10-18 05:58:36,2022-10-18 06:32:48,2022-10-18 06:32:55,배고팡,17.26,현금,user_405
2023-01-08 16:09:43,2023-01-08 17:41:27,2023-01-08 18:10:55,여기여,1.08,현금,user_87
2023-04-25 15:57:47,2023-04-25 16:28:53,2023-04-25 16:37:27,여기여,4.28,현금,user_9
2022-12-09 23:49:40,2022-12-10 01:31:05,2022-12-10 00:39:15,배고팡,1.58,앱결제,user_406
2022-10-08 13:58:45,2022-10-08 14:24:35,2022-10-08 14:36:01,배고팡,0.98,카드,user_137
2023-04-23 04:39:13,2023-04-23 05:19:13,2023-04-23 05:41:58,여기여,11.23,카드,user_263
2023-03-20 15:04:11,2023-03-20 16:19:31,2023-03-20 16:28:15,배달왕,4.03,현금,user_159
2023-07-03 14:40:01,2023-07-03 15:14:17,2023-07-03 15:21:09,배달왕,7.98,현금,user_375
2022-12-25 09:07:44,2022-12-25 10:27:14,2022-12-25 10:12:07,여기여,2.87,앱결제,user_499
2023-02-19 22:16:17,2023-02-19 23:45:50,2023-02-19 22:47:23,여기여,10.87,현금,user_366
2023-02-25 11:53:28,2023-02-25 13:06:52,2023-02-25 12:32:39,여기여,13.28,앱결제,user_333
2022-09-10 10:13:46,2022-09-10 11:27:34,2022-09-10 10:52:38,배고팡,10.95,현금,user_125
2023-01-14 11:24:10,2023-01-14 12:13:46,2023-01-14 12:08:03,배달왕,15.2,현금,user_360
2023-01-12 21:41:00,2023-01-12 23:27:58,2023-01-12 22:30:30,여기여,17.6,현금,user_307
2023-04-26 04:38:22,2023-04-26 05:51:13,2023-04-26 06:16:42,배고팡,1.31,앱결제,user_335
2022-12-26 10:29:42,2022-12-26 10:51:57,2022-12-26 10:50:58,여기여,6.77,카드,user_94
2022-12-13 05:42:49,2022-12-13 07:22:47,2022-12-13 06:23:04,배고팡,5.75,앱결제,user_89
2022-09-26 08:50:25,2022-09-26 10:16:55,2022-09-26 09:17:49,배고팡,19.6,카드,user_133
2022-08-31 21:20:50,2022-08-31 21:53:54,2022-08-31 21:55:37,배달왕,0.63,현금,user_155
2023-07-05 11:10:26,2023-07-05 12:02:15,2023-07-05 12:00:00,배고팡,18.28,카드,user_318
2023-08-01 01:15:09,2023-08-01 02:30:58,2023-08-01 02:29:23,여기여,15.07,현금,user_254
2023-08-01 19:53:39,2023-08-01 20:57:33,2023-08-01 20:29:51,여기여,9.11,앱결제,user_353
2023-07-19 02:32:34,2023-07-19 03:53:04,2023-07-19 04:01:14,배달왕,4.66,카드,user_327
2023-05-15 10:51:25,2023-05-15 12:28:06,2023-05-15 11:36:58,배고팡,18.8,앱결제,user_424
2023-05-15 01:42:43,2023-05-15 03:05:39,2023-05-15 02:27:23,배달왕,8.38,카드,user_441
2022-12-24 09:08:34,2022-12-24 10:14:54,2022-12-24 09:44:49,여기여,4.45,앱결제,user_487
2023-02-12 20:14:23,2023-02-12 20:44:02,2023-02-12 21:03:17,여기여,12.36,현금,user_385
2023-08-11 11:39:48,2023-08-11 13:07:50,2023-08-11 13:22:27,배달왕,0.93,현금,user_397
2023-03-01 20:06:10,2023-03-01 21:43:22,2023-03-01 22:11:59,배달왕,11.31,현금,user_211
2023-04-18 14:37:40,2023-04-18 15:32:52,2023-04-18 15:39:58,배달왕,14.95,현금,user_360
2022-09-09 08:58:40,2022-09-09 10:17:03,2022-09-09 10:24:17,배달왕,5.78,앱결제,user_235
2022-12-10 16:04:41,2022-12-10 16:37:50,2022-12-10 17:05:08,배고팡,17.46,앱결제,user_342
2023-02-18 12:43:31,2023-02-18 14:21:44,2023-02-18 13:29:52,여기여,14.26,앱결제,user_334
2023-04-27 05:55:39,2023-04-27 06:27:55,2023-04-27 06:31:06,여기여,11.18,현금,user_264
2023-02-07 12:47:12,2023-02-07 13:03:16,2023-02-07 13:30:52,배고팡,14.92,현금,user_311
2023-04-27 21:10:15,2023-04-27 21:33:10,2023-04-27 22:01:36,배달왕,2.48,앱결제,user_345
2023-02-02 12:35:58,2023-02-02 13:00:32,2023-02-02 13:15:39,배달왕,14.56,현금,user_93
2022-10-31 13:11:20,2022-10-31 13:55:42,2022-10-31 14:06:06,배고팡,19.51,현금,user_349
2023-08-02 05:48:27,2023-08-02 07:25:48,2023-08-02 07:47:56,배고팡,3.3,앱결제,user_10
2022-12-10 00:39:59,2022-12-10 02:24:02,2022-12-10 01:51:03,여기여,19.44,현금,user_488
2023-07-04 04:21:41,2023-07-04 05:02:37,2023-07-04 04:57:56,여기여,6.03,앱결제,user_227
2023-08-10 01:04:32,2023-08-10 01:48:02,2023-08-10 01:46:07,여기여,15.05,현금,user_85
2022-12-10 23:30:37,2022-12-11 01:12:16,2022-12-11 00:20:44,배달왕,9.5,앱결제,user_237
2023-07-20 21:47:22,2023-07-20 23:28:18,2023-07-20 22:16:31,배달왕,16.02,현금,user_274
2023-04-25 17:08:15,2023-04-25 17:52:30,2023-04-25 17:38:20,배달왕,11.75,현금,user_157
2023-07-04 07:15:00,2023-07-04 08:58:16,2023-07-04 08:22:58,배달왕,6.89,앱결제,user_123
2022-12-01 09:00:51,2022-12-01 09:25:35,2022-12-01 09:37:56,배고팡,15.5,현금,user_267
2022-09-22 16:25:15,2022-09-22 17:29:09,2022-09-22 17:28:13,배달왕,1.78,현금,user_108
2022-11-10 13:31:02,2022-11-10 13:56:52,2022-11-10 13:54:55,여기여,2.25,앱결제,user_461
2022-12-22 12:12:33,2022-12-22 13:58:06,2022-12-22 14:04:20,여기여,5.57,현금,user_372
2022-09-16 06:22:46,2022-09-16 06:57:54,2022-09-16 07:27:40,배고팡,3.44,앱결제,user_319
2022-10-29 20:44:19,2022-10-29 21:33:23,2022-10-29 22:04:14,배달왕,19.7,앱결제,user_444
2023-07-06 08:54:32,2023-07-06 09:19:48,2023-07-06 09:41:14,배고팡,2.45,현금,user_238
2023-03-01 03:08:29,2023-03-01 04:49:37,2023-03-01 05:09:08,배고팡,3.33,현금,user_316
2023-03-16 17:47:35,2023-03-16 18:45:31,2023-03-16 19:11:15,배고팡,18.98,현금,user_482
2023-03-27 05:12:49,2023-03-27 05:57:39,2023-03-27 06:14:18,배달왕,19.26,앱결제,user_48
2022-12-23 07:28:25,2022-12-23 08:15:09,2022-12-23 08:12:44,배달왕,7.25,현금,user_389
2022-11-21 22:17:42,2022-11-21 23:44:19,2022-11-21 23:48:28,여기여,11.31,현금,user_271
2023-06-27 14:43:08,2023-06-27 15:16:38,2023-06-27 15:30:16,배고팡,6.92,카드,user_371
2023-06-20 08:08:51,2023-06-20 08:55:56,2023-06-20 08:35:30,배고팡,9.0,카드,user_173
2023-06-12 10:59:43,2023-06-12 12:11:01,2023-06-12 11:29:58,배고팡,3.15,현금,user_28
2022-11-26 12:23:27,2022-11-26 13:59:29,2022-11-26 13:17:22,여기여,2.97,카드,user_237
2022-09-12 17:13:29,2022-09-12 17:38:42,2022-09-12 17:47:24,배고팡,13.78,앱결제,user_263
2022-09-05 09:08:20,2022-09-05 09:47:38,2022-09-05 09:33:45,배달왕,13.18,앱결제,user_215
2023-01-04 05:00:18,2023-01-04 06:20:57,2023-01-04 05:21:12,배고팡,16.71,앱결제,user_225
2023-01-10 05:52:18,2023-01-10 06:47:37,2023-01-10 06:20:04,여기여,15.46,카드,user_116
2023-08-21 01:23:18,2023-08-21 01:58:14,2023-08-21 02:11:15,배고팡,14.35,현금,user_426
2022-10-31 02:12:48,2022-10-31 03:27:41,2022-10-31 02:53:49,배고팡,0.56,앱결제,user_63
2023-06-08 05:50:35,2023-06-08 07:17:33,2023-06-08 07:19:28,배고팡,15.21,앱결제,user_31
2023-07-06 07:29:30,2023-07-06 09:11:22,2023-07-06 09:28:23,배고팡,18.71,현금,user_184
2023-05-20 22:26:55,2023-05-20 23:45:01,2023-05-20 22:50:49,배고팡,11.02,현금,user_132
2023-05-05 20:24:38,2023-05-05 22:00:59,2023-05-05 22:20:10,배고팡,2.88,앱결제,user_275
2023-05-20 05:12:57,2023-05-20 06:06:47,2023-05-20 05:55:28,여기여,1.18,카드,user_435
2023-06-11 10:39:31,2023-06-11 12:04:00,2023-06-11 12:31:49,여기여,17.72,앱결제,user_394
2023-04-28 18:30:44,2023-04-28 19:28:40,2023-04-28 19:00:40,여기여,8.13,카드,user_344
2023-08-10 06:19:31,2023-08-10 07:59:57,2023-08-10 06:44:19,배고팡,9.58,현금,user_419
2022-12-20 14:14:13,2022-12-20 15:18:20,2022-12-20 15:46:48,배고팡,7.99,카드,user_178
2023-06-29 20:12:12,2023-06-29 20:33:26,2023-06-29 20:44:23,배달왕,7.59,카드,user_147
2022-09-18 23:43:11,2022-09-19 01:13:17,2022-09-19 00:03:30,배고팡,12.75,카드,user_223
2022-09-15 02:00:20,2022-09-15 03:41:45,2022-09-15 03:13:12,배고팡,7.34,현금,user_438
2023-02-24 18:19:29,2023-02-24 19:38:53,2023-02-24 18:59:16,여기여,18.47,앱결제,user_470
2023-01-12 21:05:23,2023-01-12 21:48:20,2023-01-12 22:11:26,배고팡,17.46,앱결제,user_465
2023-01-25 05:38:41,2023-01-25 06:06:55,2023-01-25 06:18:23,배달왕,14.74,현금,user_385
