Compac,Surf_Area,Wall_Area,Roof,Height,Orient,Glaze_Area,Glaze_Distr,Cool_Load,Heat_Load
0.74,686.0,245.0,220.5,Short,South,0.25,3,14.72,Very Low
0.98,514.5,294.0,Small,Tall,South,0.4,2,33.94,High
0.9,563.5,318.5,Medium,Tall,West,0.25,1,37.58,High
0.74,686.0,245.0,220.5,Short,South,0.25,2,15.18,Very Low
0.98,514.5,294.0,Small,Tall,East,0.25,2,29.69,High
0.64,784.0,343.0,220.5,Short,South,0.1,4,19.42,Low
0.9,563.5,318.5,Medium,Tall,East,0.1,1,29.87,High
0.69,735.0,294.0,220.5,Short,North,0.1,5,14.55,Very Low
0.86,588.0,294.0,Large,Tall,North,0.1,1,30.89,Medium
0.71,710.5,269.5,220.5,Short,East,0.25,2,15.4,Very Low
0.82,612.5,318.5,Large,Tall,South,0.1,4,27.57,Medium
0.64,784.0,343.0,220.5,Short,West,0.0,0,16.67,Very Low
0.64,784.0,343.0,220.5,Short,South,0.1,2,19.32,Low
0.98,514.5,294.0,Small,Tall,East,0.4,1,33.34,High
0.79,637.0,343.0,Large,Tall,East,0.25,5,36.66,Very High
0.71,710.5,269.5,220.5,Short,West,0.1,3,13.87,Very Low
0.79,637.0,343.0,Large,Tall,South,0.25,3,37.76,Very High
0.69,735.0,294.0,220.5,Short,East,0.4,5,15.87,Low
0.62,808.5,367.5,220.5,Short,West,0.1,2,14.24,Very Low
0.9,563.5,318.5,Medium,Tall,South,0.4,5,38.79,High
0.82,612.5,318.5,Large,Tall,South,0.0,0,21.16,Low
0.69,735.0,294.0,220.5,Short,West,0.25,1,15.78,Very Low
0.74,686.0,245.0,220.5,Short,North,0.4,2,16.43,Low
0.86,588.0,294.0,Large,Tall,North,0.4,3,35.22,High
0.71,710.5,269.5,220.5,Short,West,0.1,1,14.27,Very Low
0.79,637.0,343.0,Large,Tall,East,0.0,0,31.27,High
0.9,563.5,318.5,Medium,Tall,North,0.4,4,33.98,Very High
0.62,808.5,367.5,220.5,Short,East,0.1,4,14.34,Very Low
0.71,710.5,269.5,220.5,Short,South,0.0,0,11.29,Very Low
0.74,686.0,245.0,220.5,Short,North,0.25,2,14.73,Very Low
0.69,735.0,294.0,220.5,Short,North,0.1,1,14.28,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,3,34.5,High
0.69,735.0,294.0,220.5,Short,East,0.25,4,15.73,Very Low
0.86,588.0,294.0,Large,Tall,North,0.4,1,35.99,High
0.79,637.0,343.0,Large,Tall,South,0.25,4,44.16,Very High
0.66,759.5,318.5,220.5,Short,West,0.4,1,17.95,Low
0.66,759.5,318.5,220.5,Short,North,0.1,1,13.9,Very Low
0.9,563.5,318.5,Medium,Tall,South,0.25,1,32.71,High
0.66,759.5,318.5,220.5,Short,South,0.4,5,17.55,Low
0.98,514.5,294.0,Small,Tall,South,0.25,4,30.19,Medium
0.79,637.0,343.0,Large,Tall,South,0.25,2,36.77,Very High
0.69,735.0,294.0,220.5,Short,North,0.25,4,15.37,Very Low
0.71,710.5,269.5,220.5,Short,South,0.25,1,15.44,Very Low
0.62,808.5,367.5,220.5,Short,South,0.0,0,12.08,Very Low
0.98,514.5,294.0,Small,Tall,South,0.1,1,26.44,Medium
0.69,735.0,294.0,220.5,Short,East,0.25,3,14.38,Very Low
0.69,735.0,294.0,220.5,Short,East,0.4,3,15.84,Low
0.62,808.5,367.5,220.5,Short,North,0.25,2,15.32,Low
0.82,612.5,318.5,Large,Tall,East,0.25,1,27.84,Medium
0.64,784.0,343.0,220.5,Short,East,0.25,5,20.01,Low
0.62,808.5,367.5,220.5,Short,East,0.4,3,17.14,Low
0.79,637.0,343.0,Large,Tall,North,0.4,1,45.29,Very High
0.82,612.5,318.5,Large,Tall,South,0.4,5,33.84,High
0.98,514.5,294.0,Small,Tall,East,0.4,4,33.06,High
0.79,637.0,343.0,Large,Tall,East,0.4,5,37.7,Very High
0.76,661.5,416.5,Medium,Tall,West,0.25,3,37.29,Very High
0.64,784.0,343.0,220.5,Short,South,0.1,1,19.34,Low
0.66,759.5,318.5,220.5,Short,West,0.25,3,16.26,Very Low
0.86,588.0,294.0,Large,Tall,East,0.25,5,29.43,High
0.74,686.0,245.0,220.5,Short,East,0.4,3,15.39,Low
0.82,612.5,318.5,Large,Tall,East,0.25,3,27.76,Medium
0.69,735.0,294.0,220.5,Short,North,0.1,3,14.44,Very Low
0.82,612.5,318.5,Large,Tall,South,0.1,5,28.88,Medium
0.66,759.5,318.5,220.5,Short,East,0.1,4,14.67,Very Low
0.86,588.0,294.0,Large,Tall,East,0.1,5,27.33,Medium
0.9,563.5,318.5,Medium,Tall,South,0.25,2,32.77,High
0.69,735.0,294.0,220.5,Short,South,0.1,5,14.46,Very Low
0.9,563.5,318.5,Medium,Tall,East,0.1,4,33.91,Medium
0.86,588.0,294.0,Large,Tall,West,0.25,4,28.31,High
0.71,710.5,269.5,220.5,Short,East,0.4,5,14.58,Very Low
0.64,784.0,343.0,220.5,Short,West,0.1,3,19.29,Low
0.82,612.5,318.5,Large,Tall,South,0.25,5,29.31,Medium
0.82,612.5,318.5,Large,Tall,South,0.25,2,26.72,Medium
0.9,563.5,318.5,Medium,Tall,West,0.4,3,33.31,High
0.62,808.5,367.5,220.5,Short,North,0.25,1,15.77,Low
0.71,710.5,269.5,220.5,Short,South,0.4,4,17.23,Low
0.82,612.5,318.5,Large,Tall,North,0.4,2,30.34,High
0.86,588.0,294.0,Large,Tall,South,0.25,5,34.15,High
0.82,612.5,318.5,Large,Tall,West,0.1,3,24.93,Medium
0.71,710.5,269.5,220.5,Short,East,0.25,5,14.71,Very Low
0.98,514.5,294.0,Small,Tall,West,0.25,1,29.49,High
0.82,612.5,318.5,Large,Tall,East,0.4,4,32.35,Medium
0.9,563.5,318.5,Medium,Tall,West,0.4,5,37.27,High
0.69,735.0,294.0,220.5,Short,West,0.0,0,11.93,Very Low
0.62,808.5,367.5,220.5,Short,North,0.25,4,15.41,Low
0.64,784.0,343.0,220.5,Short,South,0.1,3,19.37,Low
0.69,735.0,294.0,220.5,Short,North,0.25,1,15.21,Very Low
0.66,759.5,318.5,220.5,Short,East,0.1,5,14.81,Very Low
0.82,612.5,318.5,Large,Tall,East,0.25,5,26.08,Medium
0.64,784.0,343.0,220.5,Short,North,0.4,1,22.72,Low
0.62,808.5,367.5,220.5,Short,West,0.1,3,13.89,Very Low
0.71,710.5,269.5,220.5,Short,North,0.1,2,13.67,Very Low
0.71,710.5,269.5,220.5,Short,East,0.4,1,17.51,Low
0.64,784.0,343.0,220.5,Short,South,0.25,1,21.09,Low
0.98,514.5,294.0,Small,Tall,North,0.25,5,29.53,High
0.79,637.0,343.0,Large,Tall,North,0.25,5,37.54,Very High
0.69,735.0,294.0,220.5,Short,South,0.1,4,14.42,Very Low
0.9,563.5,318.5,Medium,Tall,South,0.0,0,25.16,Low
0.64,784.0,343.0,220.5,Short,East,0.4,2,22.07,Low
0.9,563.5,318.5,Medium,Tall,South,0.25,3,32.83,High
0.66,759.5,318.5,220.5,Short,West,0.1,3,13.83,Very Low
0.9,563.5,318.5,Medium,Tall,West,0.1,2,34.2,Medium
0.74,686.0,245.0,220.5,Short,South,0.25,1,15.28,Very Low
0.86,588.0,294.0,Large,Tall,East,0.1,1,25.6,Medium
0.74,686.0,245.0,220.5,Short,West,0.1,3,13.49,Very Low
0.69,735.0,294.0,220.5,Short,South,0.4,4,16.9,Low
0.79,637.0,343.0,Large,Tall,South,0.1,5,43.14,Very High
0.98,514.5,294.0,Small,Tall,East,0.4,3,33.24,High
0.86,588.0,294.0,Large,Tall,North,0.1,5,25.82,Medium
0.64,784.0,343.0,220.5,Short,West,0.25,4,19.9,Low
0.79,637.0,343.0,Large,Tall,South,0.1,3,35.1,Very High
0.62,808.5,367.5,220.5,Short,North,0.1,3,14.09,Very Low
0.66,759.5,318.5,220.5,Short,South,0.25,3,16.14,Very Low
0.82,612.5,318.5,Large,Tall,South,0.4,2,28.95,High
0.66,759.5,318.5,220.5,Short,West,0.25,2,15.87,Very Low
0.76,661.5,416.5,Medium,Tall,North,0.1,3,33.85,High
0.86,588.0,294.0,Large,Tall,East,0.4,4,36.2,High
0.66,759.5,318.5,220.5,Short,North,0.4,4,17.86,Low
0.79,637.0,343.0,Large,Tall,West,0.25,4,37.26,Very High
0.66,759.5,318.5,220.5,Short,South,0.1,3,13.59,Very Low
0.79,637.0,343.0,Large,Tall,East,0.4,3,44.18,Very High
0.74,686.0,245.0,220.5,Short,North,0.4,3,16.08,Low
0.9,563.5,318.5,Medium,Tall,South,0.25,5,37.19,High
0.86,588.0,294.0,Large,Tall,South,0.1,5,32.04,Medium
0.82,612.5,318.5,Large,Tall,West,0.1,4,25.16,Medium
0.79,637.0,343.0,Large,Tall,East,0.4,1,39.07,Very High
0.69,735.0,294.0,220.5,Short,South,0.25,2,15.66,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.4,2,40.4,Very High
0.69,735.0,294.0,220.5,Short,West,0.4,5,16.74,Low
0.69,735.0,294.0,220.5,Short,South,0.4,2,17.23,Low
0.66,759.5,318.5,220.5,Short,North,0.1,3,13.46,Very Low
0.74,686.0,245.0,220.5,Short,West,0.4,4,17.32,Low
0.74,686.0,245.0,220.5,Short,West,0.4,5,16.7,Low
0.71,710.5,269.5,220.5,Short,North,0.25,3,14.92,Very Low
0.9,563.5,318.5,Medium,Tall,South,0.25,4,36.16,High
0.86,588.0,294.0,Large,Tall,West,0.25,2,34.52,High
0.9,563.5,318.5,Medium,Tall,North,0.4,5,33.94,High
0.79,637.0,343.0,Large,Tall,West,0.1,5,41.26,High
0.66,759.5,318.5,220.5,Short,East,0.25,3,15.8,Very Low
0.76,661.5,416.5,Medium,Tall,North,0.25,5,36.93,Very High
0.98,514.5,294.0,Small,Tall,East,0.25,3,29.78,High
0.74,686.0,245.0,220.5,Short,West,0.4,2,17.03,Low
0.9,563.5,318.5,Medium,Tall,East,0.4,1,36.38,Very High
0.71,710.5,269.5,220.5,Short,West,0.4,1,17.47,Low
0.74,686.0,245.0,220.5,Short,South,0.4,5,16.94,Low
0.71,710.5,269.5,220.5,Short,South,0.25,5,15.23,Very Low
0.86,588.0,294.0,Large,Tall,East,0.25,2,27.89,High
0.71,710.5,269.5,220.5,Short,South,0.4,1,17.12,Low
0.82,612.5,318.5,Large,Tall,North,0.4,4,28.2,High
0.9,563.5,318.5,Medium,Tall,West,0.25,4,33.16,High
0.66,759.5,318.5,220.5,Short,North,0.25,2,15.89,Very Low
0.74,686.0,245.0,220.5,Short,West,0.25,1,15.5,Very Low
0.64,784.0,343.0,220.5,Short,East,0.1,5,19.18,Low
0.98,514.5,294.0,Small,Tall,North,0.1,4,25.91,Medium
0.66,759.5,318.5,220.5,Short,East,0.25,2,15.85,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.25,5,36.15,Very High
0.69,735.0,294.0,220.5,Short,West,0.4,4,17.39,Low
0.79,637.0,343.0,Large,Tall,South,0.4,5,47.01,Very High
0.9,563.5,318.5,Medium,Tall,East,0.4,5,33.14,High
0.79,637.0,343.0,Large,Tall,South,0.1,2,33.87,Very High
0.86,588.0,294.0,Large,Tall,South,0.25,1,30.12,High
0.69,735.0,294.0,220.5,Short,West,0.1,5,14.39,Very Low
0.64,784.0,343.0,220.5,Short,East,0.1,2,19.34,Low
0.74,686.0,245.0,220.5,Short,South,0.1,5,13.72,Very Low
0.82,612.5,318.5,Large,Tall,West,0.25,5,28.14,Medium
0.69,735.0,294.0,220.5,Short,West,0.1,4,14.73,Very Low
0.9,563.5,318.5,Medium,Tall,West,0.4,4,36.1,Very High
0.98,514.5,294.0,Small,Tall,East,0.25,5,29.77,High
0.71,710.5,269.5,220.5,Short,West,0.1,5,13.89,Low
0.76,661.5,416.5,Medium,Tall,North,0.25,2,36.87,Very High
0.69,735.0,294.0,220.5,Short,East,0.4,2,17.01,Low
0.76,661.5,416.5,Medium,Tall,West,0.25,4,37.51,Very High
0.9,563.5,318.5,Medium,Tall,South,0.4,2,34.94,Very High
0.98,514.5,294.0,Small,Tall,West,0.25,5,30.2,High
0.76,661.5,416.5,Medium,Tall,East,0.1,3,34.11,High
0.9,563.5,318.5,Medium,Tall,East,0.1,2,29.44,High
0.86,588.0,294.0,Large,Tall,West,0.1,4,25.81,Medium
0.76,661.5,416.5,Medium,Tall,East,0.25,5,37.01,Very High
0.9,563.5,318.5,Medium,Tall,West,0.25,5,35.62,High
0.79,637.0,343.0,Large,Tall,North,0.4,3,46.44,Very High
0.71,710.5,269.5,220.5,Short,West,0.4,2,17.51,Low
0.64,784.0,343.0,220.5,Short,West,0.1,1,19.32,Low
0.64,784.0,343.0,220.5,Short,East,0.1,1,19.43,Low
0.76,661.5,416.5,Medium,Tall,South,0.4,5,37.79,Very High
0.82,612.5,318.5,Large,Tall,East,0.25,4,29.43,Medium
0.79,637.0,343.0,Large,Tall,North,0.1,1,41.68,High
0.71,710.5,269.5,220.5,Short,South,0.25,3,15.57,Very Low
0.79,637.0,343.0,Large,Tall,West,0.1,4,35.29,Very High
0.86,588.0,294.0,Large,Tall,West,0.4,1,36.73,High
0.98,514.5,294.0,Small,Tall,West,0.4,3,34.0,High
0.98,514.5,294.0,Small,Tall,West,0.0,0,21.33,Low
0.64,784.0,343.0,220.5,Short,East,0.25,4,19.76,Low
0.98,514.5,294.0,Small,Tall,South,0.25,2,30.18,Medium
0.79,637.0,343.0,Large,Tall,West,0.25,3,36.87,Very High
0.9,563.5,318.5,Medium,Tall,North,0.4,2,38.35,Very High
0.98,514.5,294.0,Small,Tall,North,0.25,2,29.62,High
0.82,612.5,318.5,Large,Tall,East,0.4,5,29.56,High
0.98,514.5,294.0,Small,Tall,North,0.25,3,29.43,High
0.64,784.0,343.0,220.5,Short,South,0.4,2,22.09,Low
0.82,612.5,318.5,Large,Tall,South,0.4,3,29.77,High
0.9,563.5,318.5,Medium,Tall,North,0.25,3,36.35,High
0.66,759.5,318.5,220.5,Short,North,0.25,3,15.53,Very Low
0.64,784.0,343.0,220.5,Short,West,0.1,4,19.48,Low
0.82,612.5,318.5,Large,Tall,West,0.4,1,33.54,High
0.66,759.5,318.5,220.5,Short,South,0.4,3,18.1,Low
0.71,710.5,269.5,220.5,Short,East,0.1,4,14.12,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.1,3,34.48,High
0.66,759.5,318.5,220.5,Short,West,0.1,2,14.74,Very Low
0.62,808.5,367.5,220.5,Short,South,0.1,2,14.27,Very Low
0.71,710.5,269.5,220.5,Short,West,0.25,5,14.97,Very Low
0.66,759.5,318.5,220.5,Short,North,0.0,0,12.4,Very Low
0.62,808.5,367.5,220.5,Short,East,0.4,4,16.79,Low
0.76,661.5,416.5,Medium,Tall,South,0.0,0,29.79,Medium
0.98,514.5,294.0,Small,Tall,South,0.1,4,26.18,Medium
0.82,612.5,318.5,Large,Tall,North,0.4,1,31.71,High
0.9,563.5,318.5,Medium,Tall,South,0.4,3,33.82,High
0.82,612.5,318.5,Large,Tall,North,0.25,3,28.77,Medium
0.79,637.0,343.0,Large,Tall,South,0.25,1,36.85,Very High
0.79,637.0,343.0,Large,Tall,South,0.4,4,46.23,Very High
0.74,686.0,245.0,220.5,Short,South,0.4,1,17.03,Low
0.79,637.0,343.0,Large,Tall,West,0.25,2,45.97,Very High
0.79,637.0,343.0,Large,Tall,West,0.4,2,48.03,Very High
0.86,588.0,294.0,Large,Tall,West,0.4,2,36.86,High
0.9,563.5,318.5,Medium,Tall,East,0.4,2,35.39,Very High
0.86,588.0,294.0,Large,Tall,North,0.25,3,33.52,High
0.86,588.0,294.0,Large,Tall,West,0.4,3,31.6,High
0.76,661.5,416.5,Medium,Tall,West,0.25,1,36.62,Very High
0.76,661.5,416.5,Medium,Tall,East,0.4,1,40.85,Very High
0.71,710.5,269.5,220.5,Short,North,0.4,5,15.59,Very Low
0.62,808.5,367.5,220.5,Short,West,0.4,2,16.99,Low
0.62,808.5,367.5,220.5,Short,West,0.4,1,17.2,Low
0.79,637.0,343.0,Large,Tall,North,0.0,0,37.73,High
0.82,612.5,318.5,Large,Tall,South,0.25,3,26.95,Medium
0.74,686.0,245.0,220.5,Short,East,0.4,4,16.74,Low
0.69,735.0,294.0,220.5,Short,West,0.25,2,15.99,Very Low
0.69,735.0,294.0,220.5,Short,North,0.0,0,11.74,Very Low
0.64,784.0,343.0,220.5,Short,South,0.1,5,19.26,Low
0.74,686.0,245.0,220.5,Short,North,0.1,2,13.39,Very Low
0.98,514.5,294.0,Small,Tall,South,0.4,1,32.83,High
0.69,735.0,294.0,220.5,Short,South,0.25,1,15.48,Very Low
0.64,784.0,343.0,220.5,Short,East,0.1,3,19.18,Low
0.71,710.5,269.5,220.5,Short,South,0.25,2,14.94,Very Low
0.82,612.5,318.5,Large,Tall,West,0.25,3,26.41,Medium
0.9,563.5,318.5,Medium,Tall,North,0.4,3,37.26,High
0.76,661.5,416.5,Medium,Tall,North,0.25,4,37.2,Very High
0.69,735.0,294.0,220.5,Short,South,0.25,4,15.83,Very Low
0.98,514.5,294.0,Small,Tall,South,0.4,4,33.95,High
0.69,735.0,294.0,220.5,Short,South,0.4,5,16.54,Low
0.79,637.0,343.0,Large,Tall,South,0.0,0,30.93,High
0.98,514.5,294.0,Small,Tall,West,0.25,3,30.19,High
0.66,759.5,318.5,220.5,Short,West,0.1,1,13.65,Very Low
0.82,612.5,318.5,Large,Tall,West,0.4,5,32.54,High
0.64,784.0,343.0,220.5,Short,North,0.25,1,21.13,Low
0.79,637.0,343.0,Large,Tall,North,0.4,2,45.59,Very High
0.98,514.5,294.0,Small,Tall,West,0.4,2,33.78,High
0.82,612.5,318.5,Large,Tall,East,0.1,3,27.54,Medium
0.9,563.5,318.5,Medium,Tall,South,0.1,1,29.58,High
0.9,563.5,318.5,Medium,Tall,North,0.25,1,36.12,High
0.86,588.0,294.0,Large,Tall,South,0.25,4,33.93,High
0.69,735.0,294.0,220.5,Short,East,0.1,1,14.61,Very Low
0.82,612.5,318.5,Large,Tall,North,0.25,2,28.27,Medium
0.79,637.0,343.0,Large,Tall,North,0.1,2,41.07,High
0.9,563.5,318.5,Medium,Tall,North,0.1,2,32.54,High
0.62,808.5,367.5,220.5,Short,East,0.4,5,17.11,Low
0.76,661.5,416.5,Medium,Tall,West,0.4,2,39.7,Very High
0.82,612.5,318.5,Large,Tall,West,0.4,2,32.92,Medium
0.86,588.0,294.0,Large,Tall,South,0.1,3,25.9,Medium
0.86,588.0,294.0,Large,Tall,North,0.25,2,33.37,High
