Compac,Surf_Area,Wall_Area,Roof,Height,Orient,Glaze_Area,Glaze_Distr,Cool_Load,Heat_Load
0.79,637.0,343.0,Large,Tall,East,0.25,3,43.66,Very High
0.76,661.5,416.5,Medium,Tall,West,0.4,1,39.48,Very High
0.69,735.0,294.0,220.5,Short,West,0.4,3,17.02,Low
0.62,808.5,367.5,220.5,Short,North,0.1,2,14.37,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.25,1,37.58,Very High
0.74,686.0,245.0,220.5,Short,North,0.4,1,16.94,Low
0.86,588.0,294.0,Large,Tall,North,0.25,1,33.98,High
0.62,808.5,367.5,220.5,Short,South,0.1,1,14.33,Very Low
0.74,686.0,245.0,220.5,Short,West,0.0,0,11.17,Very Low
0.86,588.0,294.0,Large,Tall,West,0.25,1,34.73,High
0.82,612.5,318.5,Large,Tall,South,0.4,1,28.99,High
0.62,808.5,367.5,220.5,Short,East,0.4,1,17.21,Low
0.79,637.0,343.0,Large,Tall,West,0.4,5,44.87,Very High
0.9,563.5,318.5,Medium,Tall,East,0.1,5,29.52,High
0.71,710.5,269.5,220.5,Short,West,0.25,2,15.32,Very Low
0.62,808.5,367.5,220.5,Short,North,0.4,3,16.9,Low
0.69,735.0,294.0,220.5,Short,East,0.1,5,14.28,Very Low
0.66,759.5,318.5,220.5,Short,East,0.25,4,15.59,Very Low
0.71,710.5,269.5,220.5,Short,South,0.1,3,14.3,Very Low
0.74,686.0,245.0,220.5,Short,North,0.4,4,16.61,Low
0.66,759.5,318.5,220.5,Short,South,0.25,2,16.22,Very Low
0.71,710.5,269.5,220.5,Short,South,0.25,4,15.2,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.25,3,37.28,High
0.98,514.5,294.0,Small,Tall,South,0.4,5,33.76,High
0.74,686.0,245.0,220.5,Short,East,0.1,3,13.36,Very Low
0.9,563.5,318.5,Medium,Tall,South,0.4,1,35.92,Very High
0.69,735.0,294.0,220.5,Short,North,0.4,1,16.5,Low
0.62,808.5,367.5,220.5,Short,South,0.25,3,14.89,Low
0.76,661.5,416.5,Medium,Tall,East,0.25,3,36.44,Very High
0.98,514.5,294.0,Small,Tall,North,0.4,3,32.78,High
0.74,686.0,245.0,220.5,Short,South,0.1,2,13.57,Very Low
0.69,735.0,294.0,220.5,Short,South,0.1,3,14.67,Very Low
0.69,735.0,294.0,220.5,Short,North,0.4,4,16.81,Low
0.86,588.0,294.0,Large,Tall,South,0.25,2,29.9,High
0.9,563.5,318.5,Medium,Tall,South,0.1,5,34.45,Medium
0.82,612.5,318.5,Large,Tall,East,0.4,3,30.65,High
0.71,710.5,269.5,220.5,Short,South,0.1,2,13.8,Very Low
0.64,784.0,343.0,220.5,Short,West,0.25,3,20.28,Low
0.86,588.0,294.0,Large,Tall,East,0.1,3,31.01,Medium
0.86,588.0,294.0,Large,Tall,North,0.4,2,35.48,High
0.74,686.0,245.0,220.5,Short,East,0.25,1,15.5,Very Low
0.71,710.5,269.5,220.5,Short,North,0.4,2,16.77,Low
0.71,710.5,269.5,220.5,Short,West,0.25,4,15.64,Very Low
0.64,784.0,343.0,220.5,Short,South,0.4,5,20.71,Low
0.62,808.5,367.5,220.5,Short,North,0.0,0,12.07,Very Low
0.98,514.5,294.0,Small,Tall,North,0.4,2,32.96,High
0.62,808.5,367.5,220.5,Short,West,0.4,4,16.79,Low
0.76,661.5,416.5,Medium,Tall,East,0.4,5,39.8,Very High
0.71,710.5,269.5,220.5,Short,North,0.4,3,16.11,Low
0.98,514.5,294.0,Small,Tall,West,0.1,3,26.14,Medium
0.64,784.0,343.0,220.5,Short,East,0.4,1,22.73,Low
0.98,514.5,294.0,Small,Tall,East,0.0,0,21.33,Low
0.9,563.5,318.5,Medium,Tall,West,0.1,3,29.67,High
0.69,735.0,294.0,220.5,Short,West,0.1,1,14.45,Very Low
0.69,735.0,294.0,220.5,Short,South,0.1,1,14.3,Very Low
0.9,563.5,318.5,Medium,Tall,East,0.25,3,35.1,High
0.76,661.5,416.5,Medium,Tall,South,0.4,4,39.85,Very High
0.79,637.0,343.0,Large,Tall,North,0.4,5,38.56,Very High
0.98,514.5,294.0,Small,Tall,South,0.0,0,21.33,Low
0.64,784.0,343.0,220.5,Short,East,0.25,1,21.19,Low
0.9,563.5,318.5,Medium,Tall,East,0.4,3,35.04,High
0.79,637.0,343.0,Large,Tall,West,0.4,1,46.94,Very High
0.64,784.0,343.0,220.5,Short,North,0.1,1,19.37,Low
0.62,808.5,367.5,220.5,Short,North,0.25,5,15.19,Low
0.62,808.5,367.5,220.5,Short,South,0.25,1,15.77,Low
0.98,514.5,294.0,Small,Tall,South,0.25,5,30.0,Medium
0.62,808.5,367.5,220.5,Short,West,0.25,4,15.38,Low
0.74,686.0,245.0,220.5,Short,North,0.25,5,14.48,Very Low
0.64,784.0,343.0,220.5,Short,North,0.25,2,20.47,Low
0.79,637.0,343.0,Large,Tall,East,0.1,2,34.62,Very High
0.86,588.0,294.0,Large,Tall,South,0.4,2,32.28,High
0.98,514.5,294.0,Small,Tall,North,0.1,3,25.68,Medium
0.79,637.0,343.0,Large,Tall,North,0.4,4,38.33,Very High
0.71,710.5,269.5,220.5,Short,West,0.0,0,11.67,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.0,0,29.68,Medium
0.74,686.0,245.0,220.5,Short,East,0.25,3,13.79,Very Low
0.62,808.5,367.5,220.5,Short,South,0.4,4,16.58,Low
0.98,514.5,294.0,Small,Tall,North,0.1,2,25.95,Medium
0.62,808.5,367.5,220.5,Short,North,0.4,5,16.88,Low
0.66,759.5,318.5,220.5,Short,West,0.1,5,14.87,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.25,4,36.76,Very High
0.66,759.5,318.5,220.5,Short,West,0.4,2,18.15,Low
0.62,808.5,367.5,220.5,Short,West,0.1,1,14.27,Very Low
0.76,661.5,416.5,Medium,Tall,North,0.25,1,36.85,Very High
0.86,588.0,294.0,Large,Tall,West,0.1,2,31.9,Medium
0.66,759.5,318.5,220.5,Short,West,0.4,3,18.22,Low
0.82,612.5,318.5,Large,Tall,North,0.1,2,27.38,Medium
0.66,759.5,318.5,220.5,Short,West,0.25,5,16.06,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.4,1,40.63,Very High
0.74,686.0,245.0,220.5,Short,North,0.25,1,15.19,Very Low
0.69,735.0,294.0,220.5,Short,South,0.4,1,16.87,Low
0.74,686.0,245.0,220.5,Short,East,0.1,5,13.44,Very Low
0.79,637.0,343.0,Large,Tall,South,0.25,5,45.28,Very High
0.9,563.5,318.5,Medium,Tall,West,0.1,5,33.01,High
0.76,661.5,416.5,Medium,Tall,West,0.0,0,29.4,Medium
0.98,514.5,294.0,Small,Tall,West,0.1,2,25.89,Medium
0.66,759.5,318.5,220.5,Short,West,0.4,5,18.06,Low
0.9,563.5,318.5,Medium,Tall,East,0.4,4,39.92,Very High
0.76,661.5,416.5,Medium,Tall,North,0.1,4,34.11,High
0.86,588.0,294.0,Large,Tall,East,0.4,2,30.53,High
0.79,637.0,343.0,Large,Tall,South,0.4,2,38.84,Very High
0.98,514.5,294.0,Small,Tall,East,0.1,3,26.02,Medium
0.9,563.5,318.5,Medium,Tall,West,0.4,2,40.66,Very High
0.62,808.5,367.5,220.5,Short,East,0.25,4,15.56,Low
0.71,710.5,269.5,220.5,Short,North,0.1,5,14.18,Very Low
0.86,588.0,294.0,Large,Tall,West,0.1,1,31.73,Medium
0.66,759.5,318.5,220.5,Short,North,0.4,5,17.64,Low
0.69,735.0,294.0,220.5,Short,West,0.1,3,14.4,Very Low
0.69,735.0,294.0,220.5,Short,West,0.25,4,16.13,Very Low
0.74,686.0,245.0,220.5,Short,South,0.1,4,13.21,Very Low
0.62,808.5,367.5,220.5,Short,West,0.25,3,14.35,Low
0.64,784.0,343.0,220.5,Short,North,0.25,4,19.65,Low
0.69,735.0,294.0,220.5,Short,West,0.25,3,15.17,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,5,33.88,High
0.9,563.5,318.5,Medium,Tall,East,0.0,0,25.38,Medium
0.71,710.5,269.5,220.5,Short,South,0.1,4,13.79,Very Low
0.79,637.0,343.0,Large,Tall,West,0.25,5,43.73,Very High
0.64,784.0,343.0,220.5,Short,West,0.1,5,19.29,Low
0.71,710.5,269.5,220.5,Short,East,0.25,3,14.74,Very Low
0.62,808.5,367.5,220.5,Short,North,0.4,1,17.2,Low
0.62,808.5,367.5,220.5,Short,East,0.0,0,12.22,Very Low
0.86,588.0,294.0,Large,Tall,West,0.25,3,29.82,High
0.79,637.0,343.0,Large,Tall,West,0.1,3,34.29,Very High
0.71,710.5,269.5,220.5,Short,East,0.1,3,13.77,Very Low
0.86,588.0,294.0,Large,Tall,South,0.4,5,36.26,High
0.76,661.5,416.5,Medium,Tall,West,0.1,4,34.05,High
0.69,735.0,294.0,220.5,Short,West,0.1,2,13.51,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.25,2,37.28,Very High
0.98,514.5,294.0,Small,Tall,North,0.1,1,26.47,Medium
0.98,514.5,294.0,Small,Tall,South,0.1,2,26.13,Medium
0.66,759.5,318.5,220.5,Short,East,0.4,5,17.79,Low
0.71,710.5,269.5,220.5,Short,East,0.0,0,11.72,Very Low
0.64,784.0,343.0,220.5,Short,West,0.4,4,22.49,Low
0.62,808.5,367.5,220.5,Short,South,0.25,5,14.61,Low
0.66,759.5,318.5,220.5,Short,East,0.1,1,13.72,Very Low
0.86,588.0,294.0,Large,Tall,South,0.0,0,23.49,Low
0.86,588.0,294.0,Large,Tall,South,0.1,2,27.36,Medium
0.86,588.0,294.0,Large,Tall,East,0.1,2,25.63,Medium
0.69,735.0,294.0,220.5,Short,South,0.4,3,16.99,Low
0.9,563.5,318.5,Medium,Tall,East,0.25,5,32.0,High
0.66,759.5,318.5,220.5,Short,South,0.25,1,16.39,Very Low
0.86,588.0,294.0,Large,Tall,East,0.25,4,34.19,High
0.66,759.5,318.5,220.5,Short,East,0.4,3,17.63,Low
0.82,612.5,318.5,Large,Tall,South,0.1,2,24.8,Medium
0.76,661.5,416.5,Medium,Tall,North,0.4,3,38.17,Very High
0.9,563.5,318.5,Medium,Tall,North,0.4,1,39.28,Very High
0.86,588.0,294.0,Large,Tall,South,0.4,3,30.11,High
0.74,686.0,245.0,220.5,Short,West,0.25,4,15.35,Very Low
0.71,710.5,269.5,220.5,Short,East,0.25,4,15.09,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.4,3,38.48,Very High
0.82,612.5,318.5,Large,Tall,South,0.25,4,28.76,Medium
0.76,661.5,416.5,Medium,Tall,South,0.4,3,39.66,Very High
0.69,735.0,294.0,220.5,Short,North,0.1,2,13.2,Very Low
0.86,588.0,294.0,Large,Tall,North,0.25,4,29.45,High
0.86,588.0,294.0,Large,Tall,South,0.1,4,31.06,Medium
0.86,588.0,294.0,Large,Tall,West,0.1,3,27.4,Medium
0.71,710.5,269.5,220.5,Short,North,0.1,3,14.14,Very Low
0.69,735.0,294.0,220.5,Short,East,0.25,5,14.97,Very Low
0.86,588.0,294.0,Large,Tall,North,0.1,4,27.17,Medium
0.98,514.5,294.0,Small,Tall,East,0.1,2,25.63,Medium
0.82,612.5,318.5,Large,Tall,West,0.25,2,29.88,Medium
0.98,514.5,294.0,Small,Tall,North,0.0,0,21.33,Low
0.71,710.5,269.5,220.5,Short,West,0.4,3,16.1,Low
0.82,612.5,318.5,Large,Tall,East,0.1,4,28.61,Medium
0.62,808.5,367.5,220.5,Short,West,0.0,0,12.04,Very Low
0.71,710.5,269.5,220.5,Short,South,0.4,2,17.27,Low
0.74,686.0,245.0,220.5,Short,South,0.4,2,16.99,Low
0.62,808.5,367.5,220.5,Short,South,0.25,2,15.14,Low
0.82,612.5,318.5,Large,Tall,West,0.4,4,28.43,High
0.66,759.5,318.5,220.5,Short,West,0.25,1,16.19,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,1,33.67,High
0.86,588.0,294.0,Large,Tall,North,0.4,5,29.69,High
0.79,637.0,343.0,Large,Tall,West,0.1,1,43.33,Very High
0.74,686.0,245.0,220.5,Short,East,0.4,2,16.93,Low
0.66,759.5,318.5,220.5,Short,North,0.4,1,18.14,Low
0.74,686.0,245.0,220.5,Short,North,0.25,3,14.49,Very Low
0.66,759.5,318.5,220.5,Short,South,0.4,1,18.14,Low
0.66,759.5,318.5,220.5,Short,South,0.1,1,13.88,Very Low
0.82,612.5,318.5,Large,Tall,North,0.25,4,26.3,Medium
0.64,784.0,343.0,220.5,Short,East,0.4,4,21.54,Low
0.69,735.0,294.0,220.5,Short,North,0.4,5,16.63,Low
0.79,637.0,343.0,Large,Tall,South,0.1,1,34.43,Very High
0.69,735.0,294.0,220.5,Short,East,0.1,4,14.49,Very Low
0.64,784.0,343.0,220.5,Short,South,0.4,3,21.54,Low
0.82,612.5,318.5,Large,Tall,East,0.25,2,26.96,Medium
0.71,710.5,269.5,220.5,Short,North,0.4,4,16.85,Low
0.79,637.0,343.0,Large,Tall,South,0.1,4,41.86,High
0.76,661.5,416.5,Medium,Tall,East,0.1,4,33.62,High
0.76,661.5,416.5,Medium,Tall,North,0.4,1,39.55,Very High
0.64,784.0,343.0,220.5,Short,East,0.4,3,20.72,Low
0.71,710.5,269.5,220.5,Short,West,0.25,1,15.81,Very Low
0.66,759.5,318.5,220.5,Short,East,0.0,0,12.23,Very Low
0.62,808.5,367.5,220.5,Short,South,0.4,5,16.61,Low
0.82,612.5,318.5,Large,Tall,East,0.1,5,24.77,Medium
0.71,710.5,269.5,220.5,Short,South,0.1,1,13.87,Very Low
0.82,612.5,318.5,Large,Tall,South,0.25,1,27.25,Medium
0.62,808.5,367.5,220.5,Short,North,0.1,5,14.24,Very Low
0.76,661.5,416.5,Medium,Tall,West,0.1,2,33.78,High
0.66,759.5,318.5,220.5,Short,South,0.25,5,15.8,Very Low
0.71,710.5,269.5,220.5,Short,East,0.1,2,14.11,Very Low
0.98,514.5,294.0,Small,Tall,West,0.25,2,30.02,High
0.66,759.5,318.5,220.5,Short,East,0.1,2,14.75,Very Low
0.86,588.0,294.0,Large,Tall,East,0.4,3,34.7,High
0.86,588.0,294.0,Large,Tall,West,0.4,4,31.0,High
0.62,808.5,367.5,220.5,Short,West,0.1,5,14.15,Very Low
0.64,784.0,343.0,220.5,Short,North,0.25,3,19.87,Low
0.98,514.5,294.0,Small,Tall,West,0.4,1,33.04,High
0.98,514.5,294.0,Small,Tall,West,0.1,1,26.29,Medium
0.71,710.5,269.5,220.5,Short,North,0.25,2,14.91,Very Low
0.66,759.5,318.5,220.5,Short,East,0.25,1,16.27,Very Low
0.64,784.0,343.0,220.5,Short,West,0.1,2,19.3,Low
0.69,735.0,294.0,220.5,Short,South,0.25,3,15.44,Very Low
0.66,759.5,318.5,220.5,Short,South,0.1,4,15.0,Very Low
0.86,588.0,294.0,Large,Tall,North,0.1,2,30.91,Medium
0.71,710.5,269.5,220.5,Short,North,0.25,5,15.27,Very Low
0.98,514.5,294.0,Small,Tall,South,0.25,1,29.28,High
0.9,563.5,318.5,Medium,Tall,West,0.25,2,37.72,High
0.79,637.0,343.0,Large,Tall,West,0.1,2,42.86,Very High
0.74,686.0,245.0,220.5,Short,West,0.1,4,13.53,Very Low
0.76,661.5,416.5,Medium,Tall,South,0.25,5,35.73,Very High
0.71,710.5,269.5,220.5,Short,East,0.1,1,14.28,Very Low
0.69,735.0,294.0,220.5,Short,East,0.4,1,17.0,Low
0.69,735.0,294.0,220.5,Short,South,0.0,0,11.73,Very Low
0.62,808.5,367.5,220.5,Short,West,0.4,5,16.03,Low
0.9,563.5,318.5,Medium,Tall,North,0.1,5,29.82,High
0.76,661.5,416.5,Medium,Tall,West,0.4,3,40.1,Very High
0.66,759.5,318.5,220.5,Short,South,0.1,5,14.65,Very Low
0.66,759.5,318.5,220.5,Short,West,0.4,4,18.24,Low
0.79,637.0,343.0,Large,Tall,East,0.1,1,35.28,Very High
0.9,563.5,318.5,Medium,Tall,North,0.25,5,32.25,High
0.74,686.0,245.0,220.5,Short,North,0.1,1,13.43,Very Low
0.82,612.5,318.5,Large,Tall,West,0.4,3,29.64,High
0.82,612.5,318.5,Large,Tall,West,0.1,2,28.79,Medium
0.82,612.5,318.5,Large,Tall,West,0.0,0,24.93,Low
0.66,759.5,318.5,220.5,Short,South,0.4,4,18.36,Low
0.66,759.5,318.5,220.5,Short,East,0.4,1,18.03,Low
0.79,637.0,343.0,Large,Tall,East,0.25,1,37.81,Very High
0.69,735.0,294.0,220.5,Short,North,0.25,2,15.52,Very Low
0.69,735.0,294.0,220.5,Short,East,0.1,3,14.27,Very Low
0.86,588.0,294.0,Large,Tall,West,0.25,5,33.47,High
0.98,514.5,294.0,Small,Tall,South,0.4,3,33.86,High
0.98,514.5,294.0,Small,Tall,East,0.25,4,29.59,High
0.64,784.0,343.0,220.5,Short,North,0.1,4,19.24,Low
0.62,808.5,367.5,220.5,Short,East,0.1,5,13.97,Very Low
0.98,514.5,294.0,Small,Tall,North,0.4,4,32.95,High
0.86,588.0,294.0,Large,Tall,West,0.1,5,31.28,Medium
0.74,686.0,245.0,220.5,Short,South,0.25,5,14.81,Very Low
0.98,514.5,294.0,Small,Tall,East,0.1,5,25.98,Medium
0.82,612.5,318.5,Large,Tall,West,0.1,1,28.51,Medium
0.9,563.5,318.5,Medium,Tall,West,0.1,4,29.92,High
0.62,808.5,367.5,220.5,Short,South,0.4,2,16.86,Low
0.79,637.0,343.0,Large,Tall,East,0.1,4,43.3,Very High
0.71,710.5,269.5,220.5,Short,North,0.0,0,11.27,Very Low
0.86,588.0,294.0,Large,Tall,South,0.1,1,27.03,Medium
0.79,637.0,343.0,Large,Tall,West,0.4,3,38.23,Very High
0.98,514.5,294.0,Small,Tall,South,0.1,5,25.88,Medium
0.74,686.0,245.0,220.5,Short,North,0.1,4,13.2,Very Low
0.66,759.5,318.5,220.5,Short,West,0.0,0,12.14,Very Low
0.62,808.5,367.5,220.5,Short,East,0.25,1,15.95,Low
0.9,563.5,318.5,Medium,Tall,East,0.25,4,37.12,High
0.62,808.5,367.5,220.5,Short,West,0.1,4,14.47,Very Low
0.76,661.5,416.5,Medium,Tall,East,0.25,2,37.35,Very High
0.66,759.5,318.5,220.5,Short,South,0.25,4,16.17,Very Low
0.9,563.5,318.5,Medium,Tall,North,0.1,1,32.92,High
0.69,735.0,294.0,220.5,Short,West,0.25,5,14.6,Very Low
0.82,612.5,318.5,Large,Tall,North,0.4,5,29.93,High
0.76,661.5,416.5,Medium,Tall,West,0.4,4,40.77,Very High
0.76,661.5,416.5,Medium,Tall,South,0.25,4,37.05,Very High
0.86,588.0,294.0,Large,Tall,East,0.4,1,30.66,High
